t_knots,mean_beta0,mean_beta1,mean_beta2,mean_beta3,med_beta0,med_beta1,med_beta2,med_beta3,sd_beta0,sd_beta1,sd_beta2,sd_beta3,lower_beta0,lower_beta1,lower_beta2,lower_beta3,upper_beta0,upper_beta1,upper_beta2,upper_beta3
-1.99,1.75335545626302,0.366573057675484,0.396756878299177,0.9234938970887,1.71165778616498,0.390753007095364,0.3642986037639,0.92505571921659,0.218068475121024,0.102637970077216,0.167894108985839,0.146415513192963,1.45295780993175,0.1844689426427,0.167820786990166,0.736441358672039,2.01981408878393,0.533480003937591,0.707811250941702,1.17408134145958
-1.90857142857143,1.69886546042846,0.430596866312088,0.406223969918603,0.92480051130631,1.70245481914977,0.446658321351111,0.387403980335033,0.939025113221772,0.16195081362527,0.0618828763284835,0.175846249483485,0.152478230956435,1.45105682460867,0.335871653677286,0.212602694862149,0.713099380197481,1.88394300206055,0.537132851040516,0.750525873127922,1.12878045336432
-1.82714285714286,1.60167461912362,0.486276816102866,0.431724260884316,0.905595223389096,1.62998616928709,0.502096295444241,0.42547085448013,0.933882389266872,0.126187148544956,0.0638709904808855,0.176868805638215,0.151214259687576,1.38393401991101,0.387379471804063,0.163615498812648,0.681901180402932,1.75678220724708,0.577151478994754,0.774257342211533,1.11910083804788
-1.74571428571429,1.48309289718616,0.533799035449493,0.47929974587818,0.872706472337051,1.50067403400871,0.513571468389521,0.48879417493322,0.86295460741786,0.13030124695091,0.0811569090829459,0.155568725962227,0.139992539804439,1.25099608753843,0.420596425404339,0.207452044261189,0.669083869083937,1.70340559935416,0.658142824615846,0.790972479261334,1.07611053124335
-1.66428571428571,1.34170644949453,0.592669533445902,0.53972227814643,0.827174141187347,1.32177355522707,0.591247644720663,0.534796351859908,0.843442456608642,0.142781353841184,0.0781080198628726,0.132442292022734,0.141611010637805,1.0832731740777,0.476070373696942,0.298785048381143,0.650743152830034,1.59807531870202,0.700919813427722,0.81002217839573,1.03653482678264
-1.58285714285714,1.17830006857351,0.636424063415314,0.603333593892669,0.784984316699137,1.18195451358203,0.653303933336855,0.593632602041135,0.8142649034505,0.116939270152226,0.0841786621663675,0.110274193635198,0.149278479422101,0.954748885166041,0.492208950835796,0.42392810171201,0.602021215816571,1.35424842744561,0.753448841179665,0.834425423182073,1.01960185599251
-1.50142857142857,1.04330929670456,0.680059665974814,0.690836754572912,0.744802075784459,1.04996512102538,0.661971891765381,0.670576015161931,0.759694939057177,0.088159540579266,0.093926082962908,0.0905693672486059,0.156609282833405,0.918479288017983,0.522084254173343,0.552651941962689,0.539533314979417,1.16951834222114,0.824020642670636,0.842451060930215,0.991319038976855
-1.42,0.924650718353275,0.716146631450842,0.795774516641925,0.713461699369806,0.93756236773796,0.680196095440112,0.806037384237798,0.701515027951083,0.107140149490962,0.0949523646955179,0.0954058157287819,0.157112102660223,0.750485117455721,0.595982261621713,0.610584879157533,0.503541115477197,1.10190686947329,0.881905748934802,0.91225146879755,0.946310876720032
-1.33857142857143,0.808431166093513,0.721449686584847,0.901142969365522,0.686199481740256,0.813341101078549,0.733774243021098,0.895357725254104,0.662007816783468,0.117365392122732,0.0915475064143679,0.0860382231681341,0.148146740240073,0.617854418296561,0.576335993094785,0.771348190253514,0.482620685286828,1.02472331677026,0.887210528936046,1.04372108457818,0.898302492665651
-1.25714285714286,0.717392287800565,0.701538507486132,0.978124863304711,0.659574628042437,0.714674181676439,0.731868341856352,0.956997932571185,0.628545619178537,0.104567287224597,0.109566751470524,0.0900897075792729,0.141441049245008,0.586749010839379,0.477634338511834,0.845920015657804,0.443593290607476,0.947391472817122,0.872829488660978,1.14678387737495,0.862934629018417
-1.17571428571429,0.644327338026079,0.681503948008102,1.01809099486135,0.636626673717777,0.650246271437217,0.729222942105543,1.00453880556947,0.619205601396549,0.0976136259416915,0.113220963821571,0.100431876387161,0.153094324085904,0.534170249983487,0.424248173519232,0.839918820120241,0.379748218601804,0.873289778246299,0.789713325365594,1.21169654184289,0.850055887385683
-1.09428571428571,0.588963956971012,0.684292497983877,1.0209620071388,0.608489847825794,0.576535559480397,0.725661629469246,1.0189352591353,0.587442986435777,0.121782108686329,0.106860963218028,0.117931740272053,0.164793424963824,0.452180117943528,0.419676485975848,0.745755654643309,0.304111402092254,0.897858034303301,0.790933077510195,1.2041610214995,0.844114731676882
-1.01285714285714,0.522184276781545,0.70048742241462,1.01502350701401,0.585565082428627,0.514088615024656,0.703131386705363,1.03808592702529,0.574915617222652,0.11432136597844,0.082766537355958,0.130848892466938,0.165590809014583,0.373099612407496,0.501855302148146,0.67746826553464,0.263640477599189,0.806112778303992,0.829615792097171,1.16031952287152,0.846218485651238
-0.931428571428571,0.46647214538556,0.734989306689706,0.988005795489645,0.5671266821695,0.471411834842136,0.745858814887034,1.01588262854042,0.59492649163996,0.0961122348436932,0.0663911733377676,0.149687433823931,0.164986687573218,0.310253960403491,0.591293945390351,0.616849823018695,0.207689468999242,0.67341848585105,0.806355108648045,1.14887563997207,0.816556496123599
-0.85,0.420048992489355,0.771371212876414,0.957494282163294,0.547218606732905,0.394878018496966,0.76877262320811,0.998821759858917,0.584756544565608,0.100423837624843,0.0653912084343051,0.137561992898014,0.164936706524544,0.299289376931107,0.666983665637532,0.652992111471856,0.147189303067906,0.625860474319457,0.859499054272163,1.11734056830847,0.733788186058966
-0.768571428571429,0.377725360368073,0.817582912897164,0.919709625828441,0.520579687500106,0.339611403403911,0.812799533747374,0.970211765788667,0.54061265086479,0.111681744969797,0.0686064254569734,0.123248917644812,0.162563622120303,0.264347275502745,0.730101279638112,0.703283120925834,0.113797217216803,0.575618276619026,0.925969771450076,1.0435839314058,0.700318588199461
-0.687142857142857,0.353980948796092,0.864517174630185,0.870451717812726,0.487510005454717,0.317550813533546,0.861559241474997,0.899150289674854,0.509035999026073,0.130064910750622,0.0612310289567964,0.14123502399908,0.166943152124742,0.210777204774215,0.754467870797787,0.6237127099383,0.0645107577997095,0.598140579995943,0.956349213457918,1.09099855284234,0.673721812018322
